Id,Label,timeset,indegree,outdegree,degree,modularity_class,clustering,eigencentrality,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,pageranks
n236,lib/Type/Hash.pod,,24,104,128,80,0.405819,0.104188,37,124,161,7,0.299624,0.394315,47.003222,0,0.001329
n237,lib/Type/IO.pod,,27,143,170,80,0.293909,0.121199,34,172,206,6,0.367561,0.465241,10430.147933,0,0.001897
n238,lib/Type/IO/FileTestable.pod,,21,111,132,80,0.431529,0.110419,23,172,195,7,0.302831,0.399845,47.206475,0,0.001345
n239,lib/Type/IO/Handle.pod,,29,102,131,80,0.391544,0.105087,46,124,170,6,0.360016,0.441619,8627.350235,0,0.00143
n240,lib/Type/Int.pod,,34,101,135,80,0.37435,0.106526,52,129,181,7,0.302622,0.401442,433.657159,0,0.001518
n241,lib/Type/Iterator.pod,,32,99,131,80,0.390253,0.105098,48,117,165,7,0.299932,0.396025,210.034157,0,0.001394
n242,lib/Type/List.pod,,44,97,141,80,0.344529,0.1071,66,114,180,6,0.310883,0.40973,1738.075561,0,0.001679
n243,lib/Type/Match.pod,,37,96,133,80,0.389098,0.106875,59,118,177,7,0.301582,0.399161,80.965708,0,0.001382
n244,lib/Type/Mix.pod,,26,85,111,80,0.466749,0.096645,28,88,116,6,0.303881,0.38759,352.519451,0,0.00121
n245,lib/Type/Mixy.pod,,52,115,167,80,0.300952,0.119971,65,141,206,6,0.310113,0.419897,1034.998029,0,0.001805
n246,lib/Type/Mu.pod,,42,110,152,80,0.364021,0.118008,63,183,246,7,0.305043,0.411438,369.037963,0,0.00156
n247,lib/Type/Nil.pod,,64,118,182,80,0.277973,0.126269,90,145,235,7,0.305468,0.425482,379.237166,0,0.001904
n248,lib/Type/Numeric.pod,,52,111,163,80,0.314853,0.119557,61,123,184,7,0.303355,0.414459,242.377141,0,0.001696
n249,lib/Type/Pair.pod,,52,85,137,80,0.362119,0.106087,75,99,174,6,0.310333,0.40726,1079.113409,0,0.001586
n250,lib/Type/Parameter.pod,,69,113,182,80,0.277973,0.126269,99,138,237,7,0.305468,0.425482,379.237166,0,0.001904
n251,lib/Type/Pod/Block.pod,,71,111,182,80,0.277973,0.126269,103,132,235,7,0.305468,0.425482,379.237166,0,0.001904
n252,lib/Type/Pod/Block/Code.pod,,72,110,182,80,0.277973,0.126269,106,129,235,7,0.305468,0.425482,379.237166,0,0.001904
n253,lib/Type/Pod/Block/Named.pod,,73,109,182,80,0.277973,0.126269,109,126,235,7,0.305468,0.425482,379.237166,0,0.001904
n254,lib/Type/Pod/Item.pod,,75,107,182,80,0.277973,0.126269,114,121,235,7,0.305468,0.425482,379.237166,0,0.001904
n255,lib/Type/Positional.pod,,61,103,164,80,0.3112,0.119687,80,118,198,7,0.305468,0.417595,370.829105,0,0.001729
n256,lib/Type/Range.pod,,56,76,132,80,0.391279,0.106264,88,88,176,7,0.300034,0.396596,59.8931,0,0.001369
n257,lib/Type/Rational.pod,,68,95,163,80,0.314853,0.119557,91,108,199,7,0.303355,0.414459,242.377141,0,0.001696
